站点名称,街道地址,城市,州,邮编,站点状态代码,公共可达性分组,开放时间说明,二级充电桩数量,直流快充数量,充电网络,纬度,经度,最近确认日期,开放日期,连接器类型,访问代码,受限访问,EV价格说明
The Inn at Lost Creek - Tesla Destination,119 Lost Creek Ln,Mountain Village,CO,81435,E,Public,,3,,Tesla Destination,37.935718,-107.846759,2024-07-01,2016-02-08,TESLA,public,,
The Peaks Resort & Spa - Tesla Destination,136 Country Club Dr,Mountain Village,CO,81435,E,Public,,5,,Tesla Destination,37.938809,-107.848019,2024-07-01,2018-10-03,J1772 TESLA,public,,
Mt. Princeton Hot Springs Resort - Tesla Destination,15870 Co Rd 162,Nathrop,CO,81236,E,Public,,2,,Tesla Destination,38.732843,-106.162829,2024-07-01,2017-04-07,TESLA,public,,
KJW Distillers - Tesla Destination,929 Main St,Ouray,CO,81427,E,Public,,2,,Tesla Destination,38.026608,-107.671075,2024-07-01,2017-09-01,TESLA,public,,
Solar Energy International - Tesla Destination,39845 Mathews Ln,Paonia,CO,81428,E,Public,,2,,Tesla Destination,38.8566,-107.615,2024-07-01,2016-04-07,TESLA,public,,
The Wyman Hotel - Tesla Destination,1371 Greene S,Silverton,CO,81433,E,Public,,4,,Tesla Destination,37.80718,-107.668497,2024-07-01,2017-09-08,TESLA,public,,
Legacy Vacation Club - Steamboat Springs Hilltop - Tesla Destination,1000 High Point Dr,Steamboat Springs,CO,80487,E,Public,,6,,Tesla Destination,40.469556,-106.824093,2024-07-01,2017-12-08,J1772 TESLA,public,,
Legacy Vacation Club - Steamboat Suites - Tesla Destination,1485 Pine Grove Rd,Steamboat Springs,CO,80477,E,Public,,6,,Tesla Destination,40.464727,-106.823199,2024-07-01,2017-12-05,J1772 TESLA,public,,
Sheraton Steamboat Resort and Villas - Tesla Destination,2200 Village Inn Ct,Steamboat Springs,CO,80477,E,Public,,3,,Tesla Destination,40.458457,-106.804763,2024-07-01,2015-07-23,J1772 TESLA,public,,
Holiday Inn Express & Suites Sterling - Tesla Destination,1555 E Chestnut St,Sterling,CO,80751,E,Public,,2,,Tesla Destination,40.474278,-104.891562,2024-07-01,2018-09-25,TESLA,public,,
Claremont Inn & Winery - Tesla Destination,800 Claremont St,Stratton,CO,80836,E,Public,,2,,Tesla Destination,39.297786,-102.606879,2024-07-01,2016-06-08,TESLA,public,,
Devil's Thumb Ranch Resort & Spa - Tesla Destination,3530 County Rd 83,Tabernash,CO,80478,E,Public,,2,,Tesla Destination,39.966312,-105.784233,2024-07-01,2015-04-14,TESLA,public,,
Lumiere Hotel Telluride - Tesla Destination,118 Lost Creek Ln,Telluride,CO,81435,E,Public,,3,,Tesla Destination,37.934854,-107.846334,2024-07-01,2017-05-18,TESLA,public,,
Element 52 Residences - Tesla Destination,398 S Davis St,Telluride,CO,81320,E,Public,,2,,Tesla Destination,37.937018,-107.81787,2024-07-01,2014-02-12,TESLA,public,,
Four Seasons Vail - Tesla Destination,1 Vail Rd,Vail,CO,81657,E,Public,,2,,Tesla Destination,39.642952,-106.379133,2024-07-01,2017-12-14,TESLA,public,,
Sonnenalp Hotel - Tesla Destination,20 Vail Rd,Vail,CO,81657,E,Public,,4,,Tesla Destination,39.641587,-106.378203,2024-07-01,2014-11-19,J1772 TESLA,public,,
Lodge Tower - Tesla Destination,200 Vail Rd,Vail,CO,81657,E,Public,,3,,Tesla Destination,39.639798,-106.375328,2024-07-01,2017-09-12,TESLA,public,,
Vail≈í√¨‚àö√°‚àö√±s Mountain Haus at the Covered Bridge - Tesla Destination,292 E Meadow Dr,Vail,CO,81657,E,Public,,2,,Tesla Destination,39.641904,-106.373118,2024-07-01,2014-10-21,TESLA,public,,
Tivoli Lodge - Tesla Destination,386 Hanson Ranch Rd,Vail,CO,81657,E,Public,,2,,Tesla Destination,39.640059,-106.371498,2024-07-01,2015-08-05,TESLA,public,,
Manor Vail Lodge - Tesla Destination,595 Vail Valley Dr,Vail,CO,81657,E,Public,,1,,Tesla Destination,39.63943,-106.368139,2024-07-01,2015-10-08,TESLA,public,,
The Arrabelle at Vail Square - Tesla Destination,675 Lionshead Pl,Vail,CO,81657,E,Public,,6,,Tesla Destination,39.643305,-106.388299,2024-07-01,2015-03-17,J1772 TESLA,public,,
Courtyard Denver North/Westminster - Tesla Destination,14355 Orchard Pkwy,Westminster,CO,80023,E,Public,,4,,Tesla Destination,39.958739,-104.99283,2024-07-01,2016-11-29,J1772 TESLA,public,,
LARIMERCOUNTY 200PERIDOT-1,200 Peridot,Loveland,CO,80537,E,Public,24 hours daily,2,,ChargePoint Network,40.393241,-105.04714,2026-07-08,2019-01-10,J1772,public,false,
San Luis Valley Rural Electric Cooperative,3625 US Highway 160 W,Monte Vista,CO,81144,E,Public,24 hours daily,2,1,EV Connect,37.594519,-106.206342,2026-07-07,2017-12-01,CHADEMO J1772 J1772COMBO,public,false,
3100PEARL STATION 2,3100 Pearl Pkwy,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.023075,-105.25142,2026-07-08,2019-01-11,J1772,public,false,
BOULDER EAST REC,5660 Sioux Dr,Boulder,CO,80303,E,Public,24 hours daily,2,,ChargePoint Network,39.992686,-105.220967,2026-07-08,2019-01-15,J1772,public,false,
BOULDER SOUTH REC ST2,1360 Gillaspie Dr,Boulder,CO,80305,E,Public,24 hours daily,2,,ChargePoint Network,39.97544,-105.249147,2026-07-08,2019-02-15,J1772,public,false,
STOP N SAVE 723 HORIZON DC1,723 Horizon Dr,Grand Junction,CO,81506,E,Public,24 hours daily,,1,ChargePoint Network,39.109635,-108.542347,2026-07-08,2019-02-27,CHADEMO J1772COMBO,public,false,
VICTORIA EV STN VICTORIA EV 2,102 S Victoria Ave,Pueblo,CO,81003,E,Public,24 hours daily,2,,ChargePoint Network,38.265439,-104.613567,2026-07-08,2019-03-08,J1772,public,false,
South Central Council of Governments - Transit,300 S Bonaventure Ave,Trinidad,CO,81082,E,Private,,1,,Non-Networked,37.174279,-104.486914,2022-11-10,2019-03-15,J1772,private,,
THE COLORADAN COLORADAN P2 D,1900 18th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.754946,-104.999981,2026-07-08,2019-04-05,J1772,public,false,
THE COLORADAN COLORADAN P1 D,1750 Wewatta St Dual Station,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.754212,-105.000796,2026-07-08,2019-04-05,J1772,public,false,
THE COLORADAN COLORADAN P2 S,1750 Wewatta Street,Denver,CO,80202,E,Public,24 hours daily,1,,ChargePoint Network,39.754806,-105.000152,2026-07-08,2019-04-05,J1772,public,false,
TMV GPG1,455 Mountain Village Blvd,Mountain Village,CO,81435,E,Public,24 hours daily,2,,ChargePoint Network,37.93358,-107.853457,2026-07-08,2019-04-23,J1772,public,false,
SDCEA SOUTH MAIN L3,912 South Main Street,Buena Vista,CO,81211,E,Public,24 hours daily,,1,ChargePoint Network,38.841663,-106.120105,2026-07-08,2019-04-25,CHADEMO J1772COMBO,public,false,
"Walmart 5049 (Littleton, CO)",13420 W. Coal Mine Ave.,Littleton,CO,80127,E,Public,24 hours daily,1,3,Electrify America,39.60833,-105.1489,2026-07-08,2018-09-21,CHADEMO J1772 J1772COMBO,public,false,
"Sam's Club 6360 (Grand Junction, CO)",1040 Independent Ave.,Grand Junction,CO,81505,E,Public,24 hours daily,,4,Electrify America,39.08244,-108.58333,2026-07-08,2019-04-26,CHADEMO J1772COMBO,public,false,
"Sam's Club 8272 (Fountain, CO)",4385 Venetucci Blvd.,Fountain,CO,80906,E,Public,24 hours daily,,6,Electrify America,38.76909,-104.78309,2026-07-08,2019-01-01,J1772COMBO,public,false,
"Walmart 962 (Trinidad, CO)",2921 Toupal Drive,Trinidad,CO,81082,E,Public,24 hours daily,,4,Electrify America,37.13771,-104.52232,2026-07-08,2019-04-26,CHADEMO J1772COMBO,public,false,
"Poncha Springs, CO - Tesla Supercharger",6250 US Highway 285,Poncha Springs,CO,81242,E,Public,24 hours daily. Open to Teslas only.,,8,Tesla,38.511461,-106.076183,2026-06-18,2018-02-16,TESLA,public,false,
"Grand Junction, CO - Tesla Supercharger",2424 U.S-6,Grand Junction,CO,81505,E,Public,24 hours daily. Open to Teslas only.,,6,Tesla,39.090759,-108.604342,2026-06-18,2014-01-09,TESLA,public,false,
"Brush, CO - Tesla Supercharger",1156 CO-71,Brush,CO,80723,E,Public,24 hours daily. Open to Teslas only.,,8,Tesla,40.270912,-103.622212,2026-06-18,2016-12-30,TESLA,public,false,
Best Western Plus Boulder Inn - Tesla Destination,770 770 28th St,Boulder,CO,80303,E,Public,,3,,Tesla Destination,40.001616,-105.257982,2024-07-01,2014-12-22,J1772 TESLA,public,,
CITY OF AURORA CENTRAL REC 4,18150 E Vassar Pl,Aurora,CO,80013,E,Public,24 hours daily,2,,ChargePoint Network,39.668243,-104.77506,2026-07-08,2019-05-10,J1772,public,false,
ST.VRAIN PARK STATION 1,3525 state highway 119,Firestone,CO,80504,E,Public,24 hours daily,2,,ChargePoint Network,40.170084,-104.985747,2026-07-08,2019-05-10,J1772,public,false,
SALIDA SITES SALIDA MUSEUM,406 1/2 W Rainbow Blvd,Salida,CO,81201,E,Public,24 hours daily,2,,ChargePoint Network,38.524651,-106.008743,2026-07-08,2019-05-11,J1772,public,false,
DOWNTOWN HOTELS STATION 2,236 Main St,Grand Junction,CO,81501,E,Public,24 hours daily,2,,ChargePoint Network,39.067792,-108.568582,2026-07-08,2019-05-13,J1772,public,false,
FRISCO 99 S 3RD AVE 1,99 S 3rd St,Frisco,CO,80443,E,Public,24 hours daily,2,,ChargePoint Network,39.57501,-106.09899,2026-07-08,2019-05-21,J1772,public,false,
CATALYST CATALYST 2,3508 Delgany St,Denver,CO,80216,E,Public,24 hours daily,2,,ChargePoint Network,39.77113,-104.9792,2026-07-08,2019-05-24,J1772,public,false,
Verizon - Lone Tree,10000 Park Meadows Dr,Lone Tree,CO,80124,E,Private,24 hours daily,4,,Non-Networked,39.552223,-104.875995,2025-12-12,2019-05-01,J1772,private,,
Verizon - Colorado Springs,2424 Garden of the Gods Rd,Colorado Springs,CO,80919,E,Private,24 hours daily,8,,Non-Networked,38.897729,-104.871589,2025-12-12,2019-05-01,J1772,private,,
High Plains School,4255 Buffalo Mountain Dr,Loveland,CO,80538,E,Public,6am-6pm daily,1,,Non-Networked,40.415726,-105.019387,2022-11-10,2016-08-15,J1772,public,false,Free
DOWNTOWN HOTELS TRU 1,243 Colorado Ave,Grand Junction,CO,81501,E,Public,24 hours daily,2,,ChargePoint Network,39.066027,-108.568599,2026-07-08,2019-05-31,J1772,public,false,
City of Delta,111 West 3rd St,Delta,CO,81416,E,Public,24 hours daily,,1,EV Connect,38.743459,-108.07156,2026-07-07,2019-05-15,CHADEMO J1772COMBO,public,false,
GRAND TIMBER GTL # 2 BLD 8,75 Snowflake Drive,Breckenridge,CO,80424,E,Public,24 hours daily,2,,ChargePoint Network,39.476009,-106.052666,2026-07-08,2019-06-01,J1772,public,false,
WALKINGMOUNTAIN STATION 2,262 Walking Mountains Ln,Avon,CO,81620,E,Public,24 hours daily,2,,ChargePoint Network,39.642315,-106.519066,2026-07-08,2019-06-08,J1772,public,false,
WREA MAIN ST LVL 2,504 Market St,Meeker,CO,81641,E,Public,24 hours daily,2,,ChargePoint Network,40.036935,-107.912429,2026-07-08,2019-06-12,J1772,public,false,
"Sam's Club 6549 (Pueblo, CO)",412 Eagleridge Blvd.,Pueblo,CO,81008,E,Public,24 hours daily,,4,Electrify America,38.31937,-104.61318,2026-07-08,2019-06-12,J1772COMBO,public,false,
City of Loveland - Service Center,200 N Wilson Ave,Loveland,CO,80537,E,Private,For city vehicle use only,4,,Non-Networked,40.393945,-105.115875,2023-12-13,2019-06-17,J1772,private,,
City of Loveland - Maintenance Operations Center,105 W 5th St,Loveland,CO,80537,E,Private,Fleet use only,1,,Non-Networked,40.397,-105.07704,2023-01-10,2019-06-17,J1772,private,,
Colorado Gators Reptile Farm,9162 County Rd 9 N,Mosca,CO,81146,E,Public,24 hours daily,2,,Non-Networked,37.706026,-105.870654,2024-11-06,2019-07-01,J1772,public,false,Free
THUNDER MTN H-D DCFAST HOG,4250 Byrd Dr,Loveland,CO,80538,E,Public,24 hours daily,,1,ChargePoint Network,40.438036,-104.994108,2026-07-08,2019-08-15,J1772COMBO,public,false,
AURARIA 5TH ST GARAGE 5,650 Walnut St,Denver,CO,80204,E,Public,24 hours daily,2,,ChargePoint Network,39.74301,-105.010605,2026-07-08,2019-08-15,J1772,public,false,
CANVAS ON BLAKE CANVAS1,2501 Blake St,Denver,CO,80205,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,ChargePoint Network,39.759379,-104.988265,2026-07-08,2019-08-15,J1772,public,false,
ECG EAGLE PNR DC 1,112 Fairgrounds Rd,Eagle,CO,81631,E,Public,24 hours daily,,1,ChargePoint Network,39.659076,-106.827823,2026-07-08,2019-08-15,CHADEMO J1772COMBO,public,false,
COLO STATE UNIV SPRUCE HALL 1,150 Old Main Dr,Fort Collins,CO,80524,E,Public,24 hours daily,2,,ChargePoint Network,40.577137,-105.07804,2026-07-08,2019-08-15,J1772,public,false,
COLO STATE UNIV ROCKWELL WEST 1,551 W Laurel St,Fort Collins,CO,80523,E,Public,24 hours daily,2,,ChargePoint Network,40.577778,-105.08594,2026-07-08,2019-08-15,J1772,public,false,
COLO STATE UNIV CRABTREE HALL 1,2243 Centre Ave,Fort Collins,CO,80525,E,Public,24 hours daily,2,,ChargePoint Network,40.559364,-105.08679,2026-07-08,2019-08-15,J1772,public,false,
SAN ISABEL HQ HQ SOUTH LOT 2,781 E Industrial Blvd,Pueblo West,CO,81007,E,Public,24 hours daily,1,,ChargePoint Network,38.332245,-104.708015,2026-07-08,2019-08-15,J1772,public,false,
TIMNATH TRAIL SOUTH1,4801 signal tree drive,Timnath,CO,80528,E,Public,24 hours daily,2,,ChargePoint Network,40.52054,-104.977165,2026-07-08,2019-08-15,J1772,public,false,
SCCOG TRANSIT COG TRANSIT,625 N Polk Ave,Walsenburg,CO,81089,E,Public,24 hours daily,2,,ChargePoint Network,37.633724,-104.78546,2026-07-08,2019-08-15,J1772,public,false,
CITY OF WP CWP BERGSTROM,208 W Midland Ave,Woodland Park,CO,80863,E,Public,24 hours daily,2,,ChargePoint Network,38.993958,-105.05466,2026-07-08,2019-08-15,J1772,public,false,
YVEA OWNED YVEA CRAIG 1,3715 US-40,Craig,CO,81625,E,Public,24 hours daily,2,,ChargePoint Network,40.511814,-107.50514,2026-07-08,2019-08-15,J1772,public,false,
YVEA OWNED YVEA STEAMBOAT1,2211 Elk River Rd,Steamboat Springs,CO,80487,E,Public,24 hours daily,2,,ChargePoint Network,40.504814,-106.85726,2026-07-08,2019-08-15,J1772,public,false,
COSCC EMBASSY SUITES,7290 Commerce Center Dr,Colorado Springs,CO,80919,E,Public,24 hours daily,2,,ChargePoint Network,38.936623,-104.814674,2026-07-08,2019-08-15,J1772,public,false,
2ND FLOOR RESIDENCE 2,300 S Monroe St,Denver,CO,80209,E,Public,24 hours daily,2,,ChargePoint Network,39.711147,-104.944725,2026-07-08,2019-08-15,J1772,public,false,
BOULDER CHAUTAUQUA ST1,600 Baseline Rd,Boulder,CO,80302,E,Public,24 hours daily,2,,ChargePoint Network,39.998868,-105.282842,2026-07-08,2019-08-15,J1772,public,false,
ECG EL JEBEL 1,20 Eagle Dr,El Jebel,CO,81623,E,Public,24 hours daily,2,,ChargePoint Network,39.392309,-107.09104,2026-07-08,2019-08-15,J1772,public,false,
Eagle County Community Center,20 Eagle County Rd,El Jebel,CO,81621,E,Public,24 hours daily,1,,Non-Networked,39.39256755481259,-107.0908952301331,2023-01-10,2019-08-14,J1772,public,false,Free
FSWB CHARGING STATION 1,531 Edison Ave,Alamosa,CO,81101,E,Public,24 hours daily,2,,ChargePoint Network,37.467426,-105.86862,2026-07-08,2019-08-21,J1772,public,false,
LAFAYETTE EV CITY HALL 1,1290 S Public Rd,Lafayette,CO,80026,E,Public,24 hours daily,2,,ChargePoint Network,39.987451,-105.090133,2026-07-08,2019-08-27,J1772,public,false,
IMC CHARGE 1 THORNTON-IMC,12450 Washington St,Thornton,CO,80241,E,Public,"Mon: 12:00am-7:00am, 5:00pm-11:59pm; Tue: 12:00am-7:00am, 5:00pm-11:59pm; Wed: 12:00am-7:00am, 5:00pm-11:59pm; Thu: 12:00am-7:00am, 5:00pm-11:59pm; Fri: 12:00am-7:00am, 5:00pm-11:59pm; Sat: 12:15am-11:59pm; Sun: 12:15am-11:59pm",2,,ChargePoint Network,39.921436,-104.976393,2026-07-08,2019-08-30,J1772,public,false,
DVA 3RD FLOOR DAVITA 1,2000 16th St 3rd Floor,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.75316,-105.003944,2026-07-08,2019-08-30,J1772,public,false,
JEFFCO ACF WEST,100 Jefferson County Parkway,Golden,CO,80401,E,Public,24 hours daily,2,,ChargePoint Network,39.727615,-105.20078,2026-07-08,2019-09-10,J1772,public,false,
MAA PROMENADE STATION 2,6940 W 109th. AVE.,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.892778,-105.074044,2026-07-08,2019-09-10,J1772,public,false,
UNITED POWER COAL CREEK 1,5 Gross Dam Rd,Golden,CO,80403,E,Public,24 hours daily,,1,ChargePoint Network,39.919346,-105.360886,2026-07-08,2019-09-12,CHADEMO J1772COMBO,public,false,
Town of Paonia - Parking,236 Main Ave,Paonia,CO,81428,E,Public - Credit card at all times,24 hours daily,,1,Non-Networked,38.868257,-107.599484,2025-12-12,2019-11-08,CHADEMO J1772COMBO,public,false,$4 per hour
COLO STATE UNIV I-HOUSE 1,1400 W Elizabeth St,Fort Collins,CO,80521,E,Public,24 hours daily,1,,ChargePoint Network,40.575861,-105.100995,2026-07-08,2019-09-25,J1772,public,false,
COLO STATE UNIV UNIVERSITY VIL2,1634 W Plum St,Fort Collins,CO,80521,E,Public,24 hours daily,1,,ChargePoint Network,40.576965,-105.10509,2026-07-08,2019-09-25,J1772,public,false,
SPRINGS UTIL LYSC 01,1521 Hancock expressway,Colorado Springs,CO,80903,E,Public,24 hours daily,2,,ChargePoint Network,38.811863,-104.79937,2026-07-08,2019-09-28,J1772,public,false,
SPRINGS UTIL PINK 01,7714 Durant Dr,Colorado Springs,CO,80920,E,Public,24 hours daily,2,,ChargePoint Network,38.943008,-104.72819,2026-07-08,2019-10-01,J1772,public,false,
"Target T2029 (Glenwood Springs, CO)",110 W. Meadows Dr.,Glenwood Springs,CO,81601,E,Public,24 hours daily,,4,Electrify America,39.55613,-107.34483,2026-07-08,2019-10-05,J1772COMBO,public,false,
Element by Westin Denver Downtown,1314 Elati St,Denver,CO,80204,E,Public,24 hours daily; for guest use only,2,,Non-Networked,39.737179,-104.993913,2025-10-13,2019-09-14,J1772,public,true,Free
Colorado Springs Utilities,213 Nichols Blvd,Colorado Springs,CO,80907,E,Private,Fleet and employee use only,4,,Non-Networked,38.88151,-104.81728,2025-12-12,2019-10-28,J1772,private,,
PARQ STATION 4,909 Bannock St,Denver,CO,80204,E,Public,24 hours daily,2,,ChargePoint Network,39.730667,-104.990713,2026-07-08,2019-10-30,J1772,public,false,
Poudre Valley Hospital - ER Lot,1024 S Lemay Ave,Fort Collins,CO,80524,E,Public,24 hours daily,4,,Blink Network,40.5731316,-105.0564294,2026-07-08,2017-01-23,J1772,public,false,$1.00/Hr Parking Fee
UCHealth Greeley Hospital,6767 West 29th Street,Greeley,CO,80634,E,Public,24 hours daily,3,,Blink Network,40.3901148,-104.788443,2026-07-08,2018-11-14,J1772,public,false,$1.00/Hr Parking Fee
Courtyard Loveland,6106 Sky Pond Dr,Loveland,CO,80538,E,Public,24 hours daily,2,,Blink Network,40.4102467,-104.9879275,2026-07-08,2018-11-14,J1772,public,false,"$1.00-$2.00/Hr Variable Parking Fee, $0.20/kWh Energy Fee"
2785 Speer Apartments,2785 Speer Blvd.,Denver,CO,80211,E,Public,24 hours daily,4,,Blink Network,39.7564541,-105.0171538,2026-07-08,2014-12-29,J1772,public,false,FREE
530309  16 Chestnut,1681 Chestnut Place,Denver,CO,80202,E,Public,24 hours daily,6,,Blink Network,39.7545596,-105.0031532,2026-07-08,2019-01-11,J1772,public,false,$1.50-$7.00/Hr Variable Parking Fee
Independence Plaza,"1050 Curtis Street, Denver, CO 80202",Denver,CO,80202,E,Public,24 hours daily,1,,Blink Network,39.7475235,-104.9898868,2026-07-08,2019-09-17,J1772,public,false,FREE
Wells Fargo Center,1700 Sherman Street,Denver,CO,80203,E,Public,24 hours daily,4,,Blink Network,39.74399598,-104.9845226,2026-07-08,2013-02-26,J1772,public,false,$0.00-$20.00/Hr Variable Parking Fee
530305  1290 Broadway,1290 Broadway,Denver,CO,80203,E,Public,24 hours daily,4,,Blink Network,39.7365765,-104.9868044,2026-07-08,2018-10-08,J1772,public,false,$1.00/Hr Parking Fee
"SITUS Enterprises, LLC",435 West Hampden Avenue,Englewood,CO,80110,E,Public,24 hours daily,2,,Blink Network,39.653301,-104.9930135,2026-07-08,2017-07-04,J1772,public,false,FREE
Jefferson Building,7220 W Jefferson Ave,Lakewood,CO,80235,E,Public,24 hours daily,1,,Blink Network,39.64950056,-105.0776923,2026-07-08,2014-12-31,J1772,public,false,$1.00-$3.00/Hr Variable Parking Fee
9601 Parking Structure,9601 East Panorama Drive,Centennial,CO,80112,E,Public,24 hours daily,1,,Blink Network,39.5779353,-104.8827781,2026-07-08,2014-12-29,J1772,public,false,$1.00/Hr Parking Fee
Antler at Vail,680 Lionshead PL,Vail,CO,81657,E,Public,24 hours daily,1,,Blink Network,39.642488,-106.390608,2026-07-08,2015-06-17,J1772,public,false,$2.00/Hr Parking Fee
Riverwalk,115 Wilcox Street,Castle Rock,CO,80104,E,Public,24 hours daily,2,,Blink Network,39.3707962,-104.860623,2026-07-08,2018-11-01,J1772,public,false,$0.06/kWh Energy Fee
Montrose Community Rec. Center,16350 Woodgate Road,Montrose,CO,81401,E,Public,24 hours daily,4,,Blink Network,38.449131,-107.860518,2026-07-08,2016-05-31,J1772,public,false,FREE
COMMERCE CITY BISON RIDGE 2,13905 E 112th Ave,Commerce City,CO,80022,E,Public,24 hours daily,2,,ChargePoint Network,39.901058,-104.825949,2026-07-08,2019-11-13,J1772,public,false,
SDCEA RIVERFRONT PARK,717 E Main St,Buena Vista,CO,81211,E,Public,24 hours daily,2,,ChargePoint Network,38.846827,-106.122436,2026-07-08,2019-11-15,J1772,public,false,
ALPINE BANK STATION 01,2375 Canyon Blvd,Boulder,CO,80302,E,Public,24 hours daily,1,,ChargePoint Network,40.017613,-105.263509,2026-07-08,2019-11-16,J1772,public,false,
PARK CENTRAL EV PARK CENTRAL 1,1515 Arapahoe St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.748088,-104.996432,2026-07-08,2019-12-03,J1772,public,false,
City of Loveland - Public Works,2525 W 1st St,Loveland,CO,80537,E,Private,Fleet use only,1,,Non-Networked,40.392786,-105.112756,2023-01-10,2019-06-17,J1772,private,,
215 Wilcox Street,215 Wilcox Street,Castle Rock,CO,80104,E,Public,24 hours daily,2,,Blink Network,39.3716136,-104.8604662,2026-07-08,2018-11-01,J1772,public,false,$0.06/kWh Energy Fee
1685 38TH OWNER 1685 A,1715 38th St,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.016523,-105.244502,2026-07-08,2019-12-11,J1772,public,false,
KAMM LOT STATION 1,Kamm Ave & Main,New Castle,CO,81647,E,Public,24 hours daily,2,,ChargePoint Network,39.571358,-107.536476,2026-07-08,2019-12-17,J1772,public,false,
UNIVERSITY CENT UNC 1,2038 10th Ave,Greeley,CO,80631,E,Public,24 hours daily,2,,ChargePoint Network,40.404976,-104.69503,2026-07-08,2019-12-20,J1772,public,false,
The Stanley Hotel - Tesla Destination,333 Wonderview Ave,Estes Park,CO,80517,E,Public,,6,,Tesla Destination,40.382956,-105.518995,2024-07-01,2019-08-01,J1772 TESLA,public,,
The Sebastian - Vail - Tesla Destination,16 Vail Rd,Vail,CO,81657,E,Public,,2,,Tesla Destination,39.64258,-106.378004,2024-07-01,2019-03-29,TESLA,public,,
Manitou Springs Pool & Fitness Center Lot - Tesla Destination,300 Garden of the Gods Pl,Manitou Springs,CO,80829,E,Public,,5,,Tesla Destination,38.857872,-104.897045,2024-07-01,2019-06-06,J1772 TESLA,public,,
Industry RiNo Station - Tesla Destination,3858 Walnut St,Denver,CO,80205,E,Public,,1,,Tesla Destination,39.770729,-104.970505,2024-07-01,2019-05-20,TESLA,public,,
Home2 Suites by Hilton Longmont - Tesla Destination,710 S Sherman St,Longmont,CO,80501,E,Public,,5,,Tesla Destination,40.151155,-105.115307,2024-07-01,2019-03-15,J1772 TESLA,public,,
CITY OF ASPEN MAIN & 1ST,Main and 1st,Aspen,CO,81611,E,Public,24 hours daily,2,,ChargePoint Network,39.191784,-106.82388,2026-07-08,2020-01-03,J1772,public,false,
"Target T2225 (Edgewater, CO)",1985 Sheridan Blvd.,Edgewater,CO,80214,E,Public,24 hours daily,,6,Electrify America,39.74583,-105.0548,2026-07-08,2020-01-04,J1772COMBO,public,false,
HIGHPOINT 1 STATION 3,5400 Airport Blvd,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.034507,-105.226834,2026-07-08,2020-01-15,J1772,public,false,
HIDEAWAY PLACE STATION 1,78331 US-40,Winter Park,CO,80482,E,Public,24 hours daily,2,,ChargePoint Network,39.925695,-105.787004,2026-07-08,2020-01-29,J1772,public,false,
CITY OF CORTEZ STATION 1,803 E Montezuma Ave,Cortez,CO,81321,E,Public,24 hours daily,2,,ChargePoint Network,37.350136,-108.57313,2026-07-08,2020-01-29,J1772,public,false,
Tomichi Creek Trading Post,71420 US-50,Sargents,CO,81248,E,Public,24 hours daily,1,,Non-Networked,38.406272,-106.416647,2024-11-06,2019-11-06,J1772,public,false,Free
THE LAB THE LAB 17TH 2,2420 17th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.758565,-105.007308,2026-07-08,2020-02-12,J1772,public,false,
LASM DECO LLC ST 2,2180 S Colorado Blvd,Denver,CO,80222,E,Public,24 hours daily,2,,ChargePoint Network,39.676965,-104.9399,2026-07-08,2020-02-14,J1772,public,false,
"Idaho Springs, CO - Tesla Supercharger",1319 Miner Street,Idaho Springs,CO,80452,E,Public,24 hours daily. NACS partner enabled.,,8,Tesla,39.74158,-105.518323,2026-06-18,2020-02-11,TESLA,public,false,
Dairy Block Parking Garage,1800 Wazee Street,Denver,CO,80202,E,Public,24 hours daily,6,,Blink Network,39.7532096,-104.9968463,2026-07-08,2019-06-05,J1772,public,false,FREE
FLAX POND 3550 FRONTIER B,3550 Frontier Ave,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.021244,-105.24716,2026-07-08,2020-02-27,J1772,public,false,
DHA OSAGE 1,1035 Osage St,Denver,CO,80204,E,Public,24 hours daily,1,,ChargePoint Network,39.732843,-105.005413,2026-07-08,2020-02-27,J1772,public,false,
REEF WALNUT STATION 1,4775 Walnut St,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.019228,-105.238523,2026-07-08,2020-02-27,J1772,public,false,
GCEA EV STATION CB 6TH & ELK,602 Elk Ave,Crested Butte,CO,81224,E,Public,24 hours daily,2,,ChargePoint Network,38.86956,-106.98088,2026-07-08,2020-02-28,J1772,public,false,
HIGHPOINT 1 STATION 2,2580 55th St,Boulder,CO,80301,E,Public,24 hours daily,2,,ChargePoint Network,40.025835,-105.223366,2026-07-08,2020-03-06,J1772,public,false,
